,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
평양공동선언,0,0,0,0,0,0,0,0,0,0,0,264,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평창_올림픽,0,0,0,353,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평창동계올림픽,0,0,178,611,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평창올림픽,0,143,347,2033,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평화당,0,0,0,0,0,294,211,308,308,308,214,0,0,0,0,0,0,0,275,153,0,156,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평화의,0,0,0,0,0,0,665,0,0,0,0,270,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평화체제,0,0,0,0,0,0,531,197,248,248,0,138,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
평화협정,0,0,0,0,0,0,397,570,189,189,0,190,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포스트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,177,0,0,0,0,0,0,0,0,0,0,0,0
포인트,123,116,108,223,0,191,0,288,331,331,260,188,165,268,237,221,211,231,215,292,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
폼페이오,0,0,0,0,0,294,713,2090,1734,1734,1513,1194,1859,710,242,742,641,656,681,312,294,550,462,403,0,115,222,329,0,123,0,211,247,193,0,279,522,237,0,0,0,0,0,0,0
폼페이오_장관,0,0,0,0,0,0,0,855,831,831,697,488,1080,273,0,257,252,254,295,130,0,231,194,152,0,0,0,0,0,0,0,113,0,0,0,147,276,0,0,0,0,0,0,0,0
푸틴_대통령,0,0,0,0,0,181,0,0,284,284,0,0,0,0,0,0,0,0,539,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
풍계리,0,0,0,0,0,0,244,1729,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
풍계리_핵실험장,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
프랑스,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0
프로세스,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,168,139,0,0,0,0
플로리다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,406,0,0,0,0,0,0,0
피고인,174,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,113,0,0,0,145,0,174,0,0,0,0,0,219,175
피의자,0,0,128,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,152,0,110,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0
피해자,115,158,555,429,270,487,181,0,0,0,304,0,258,286,153,369,155,0,0,172,168,295,420,148,156,267,213.5,160,157,163,412,822,486,1585,585,457,374,488,429,1492,476,1111,488,275,651
필리버스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,57.5,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0
