year,month,day,NSI
2005,9,12,126.55
2005,9,13,127.14
2005,9,14,126.79
2005,9,15,125.61
2005,9,16,123.76
2005,9,17,124.29
2005,9,18,124.63
2005,9,19,124.47
2005,9,20,123.64
2005,9,21,126.5
2005,9,22,124.97
2005,9,23,125.54
2005,9,24,121.46
2005,9,25,120.6
2005,9,26,120.59
2005,9,27,122.79
2005,9,28,122.09
2005,9,29,124.04
2005,9,30,125.76
2005,10,1,131.09
2005,10,2,131.81
2005,10,3,131.63
2005,10,4,128.64
2005,10,5,127.87
2005,10,6,127.5
2005,10,7,126.54
2005,10,8,122.67
2005,10,9,122.28
2005,10,10,122.5
2005,10,11,126.24
2005,10,12,125.27
2005,10,13,123.25
2005,10,14,122.45
2005,10,15,124.14
2005,10,16,123.98
2005,10,17,122.51
2005,10,18,120.7
2005,10,19,121.27
2005,10,20,120.95
2005,10,21,122.07
2005,10,22,120.25
2005,10,23,120.24
2005,10,24,122.87
2005,10,25,123.08
2005,10,26,122.42
2005,10,27,122.49
2005,10,28,122.32
2005,10,29,119.77
2005,10,30,119.68
2005,10,31,117.7
2005,11,1,117.25
2005,11,2,117.98
2005,11,3,119.61
2005,11,4,122.2
2005,11,5,124.71
2005,11,6,124.86
2005,11,7,125.02
2005,11,8,125.12
2005,11,9,126.9
2005,11,10,125.94
2005,11,11,124.05
2005,11,12,127.03
2005,11,13,127.43
2005,11,14,128.63
2005,11,15,130.2
2005,11,16,128.68
2005,11,17,130.09
2005,11,18,131.74
2005,11,19,131.43
2005,11,20,131.51
2005,11,21,131.58
2005,11,22,132.85
2005,11,23,132.61
2005,11,24,132.79
2005,11,25,132.69
2005,11,26,132.67
2005,11,27,132.46
2005,11,28,133.71
2005,11,29,132.88
2005,11,30,131.81
2005,12,1,132.15
2005,12,2,131.82
2005,12,3,132.07
2005,12,4,132.07
2005,12,5,130.86
2005,12,6,130.96
2005,12,7,132.47
2005,12,8,131.5
2005,12,9,128.81
2005,12,10,125.11
2005,12,11,124.74
2005,12,12,124.07
2005,12,13,124.16
2005,12,14,124.26
2005,12,15,125.36
2005,12,16,128.66
2005,12,17,126.82
2005,12,18,126.73
2005,12,19,126.3
2005,12,20,124.82
2005,12,21,123.39
2005,12,22,124.07
2005,12,23,121.6
2005,12,24,123.91
2005,12,25,124.25
2005,12,26,125.42
2005,12,27,127.52
2005,12,28,130.36
2005,12,29,129.36
2005,12,30,131.21
2005,12,31,134.27
2006,1,1,134.18
2006,1,2,136.1
2006,1,3,137.8
2006,1,4,136.21
2006,1,5,136.44
2006,1,6,135.26
2006,1,7,134.46
2006,1,8,134.87
2006,1,9,133.16
2006,1,10,130.42
2006,1,11,129.77
2006,1,12,129.12
2006,1,13,129.94
2006,1,14,131.53
2006,1,15,130.92
2006,1,16,130.9
2006,1,17,132.67
2006,1,18,132.25
2006,1,19,129.58
2006,1,20,128.34
2006,1,21,123.29
2006,1,22,122.97
2006,1,23,122.12
2006,1,24,116.23
2006,1,25,115.82
2006,1,26,121.03
2006,1,27,120.89
2006,1,28,123.25
2006,1,29,123.67
2006,1,30,124.05
2006,1,31,127.96
2006,2,1,129.6
2006,2,2,122.9
2006,2,3,121.66
2006,2,4,118.56
2006,2,5,118.37
2006,2,6,116.7
2006,2,7,115.25
2006,2,8,113.98
2006,2,9,116.12
2006,2,10,118.46
2006,2,11,121.72
2006,2,12,122.04
2006,2,13,123.61
2006,2,14,123.35
2006,2,15,122.56
2006,2,16,122.51
2006,2,17,120.93
2006,2,18,119.42
2006,2,19,119.14
2006,2,20,119.34
2006,2,21,121.69
2006,2,22,122.57
2006,2,23,121.77
2006,2,24,121.23
2006,2,25,121.56
2006,2,26,121.64
2006,2,27,122.85
2006,2,28,121.31
2006,3,1,119.18
2006,3,2,119.14
2006,3,3,118.77
2006,3,4,116.66
2006,3,5,116.1
2006,3,6,113.84
2006,3,7,112.76
2006,3,8,112.46
2006,3,9,113
2006,3,10,113.86
2006,3,11,116.21
2006,3,12,117.06
2006,3,13,118.49
2006,3,14,120.93
2006,3,15,122.23
2006,3,16,121.8
2006,3,17,121.36
2006,3,18,120.06
2006,3,19,119.69
2006,3,20,118.96
2006,3,21,118.55
2006,3,22,120.11
2006,3,23,118.31
2006,3,24,118.7
2006,3,25,119.55
2006,3,26,119.67
2006,3,27,119.21
2006,3,28,117.16
2006,3,29,112.18
2006,3,30,113.19
2006,3,31,113.18
2006,4,1,114.6
2006,4,2,114.5
2006,4,3,115.7
2006,4,4,119.22
2006,4,5,123.13
2006,4,6,124.79
2006,4,7,124.48
2006,4,8,123.11
2006,4,9,122.83
2006,4,10,121.55
2006,4,11,117.97
2006,4,12,114.28
2006,4,13,111.57
2006,4,14,110.76
2006,4,15,113.49
2006,4,16,113.83
2006,4,17,114.65
2006,4,18,116.4
2006,4,19,119.27
2006,4,20,122.53
2006,4,21,122.58
2006,4,22,120.73
2006,4,23,120.91
2006,4,24,120.3
2006,4,25,116.11
2006,4,26,114.12
2006,4,27,113.37
2006,4,28,113.86
2006,4,29,111.02
2006,4,30,109.64
2006,5,1,108.72
2006,5,2,108.89
2006,5,3,109.41
2006,5,4,109.23
2006,5,5,107.25
2006,5,6,108.89
2006,5,7,110.3
2006,5,8,111.19
2006,5,9,114.62
2006,5,10,115.65
2006,5,11,114.9
2006,5,12,117.4
2006,5,13,116.75
2006,5,14,116.86
2006,5,15,116.83
2006,5,16,114.31
2006,5,17,110.14
2006,5,18,109.15
2006,5,19,105.68
2006,5,20,104.07
2006,5,21,103.99
2006,5,22,103.56
2006,5,23,102.85
2006,5,24,105.34
2006,5,25,105.13
2006,5,26,105.47
2006,5,27,105.85
2006,5,28,106.28
2006,5,29,106.92
2006,5,30,110.59
2006,5,31,109.82
2006,6,1,111.06
2006,6,2,110.81
2006,6,3,111.79
2006,6,4,111.98
2006,6,5,112.24
2006,6,6,109.83
2006,6,7,109.39
2006,6,8,107
2006,6,9,106.55
2006,6,10,105.45
2006,6,11,105.05
2006,6,12,103.06
2006,6,13,104.84
2006,6,14,103.93
2006,6,15,105.75
2006,6,16,106.63
2006,6,17,108.94
2006,6,18,109.46
2006,6,19,110.99
2006,6,20,109.21
2006,6,21,110.93
2006,6,22,111.17
2006,6,23,113.44
2006,6,24,108.54
2006,6,25,107.64
2006,6,26,107.38
2006,6,27,106.55
2006,6,28,108.57
2006,6,29,107.54
2006,6,30,107.22
2006,7,1,112.36
2006,7,2,113.15
2006,7,3,114.2
2006,7,4,116.63
2006,7,5,115.98
2006,7,6,116.45
2006,7,7,114.75
2006,7,8,113.31
2006,7,9,113.16
2006,7,10,113.45
2006,7,11,112.56
2006,7,12,111.65
2006,7,13,110.93
2006,7,14,110.61
2006,7,15,108.3
2006,7,16,106.93
2006,7,17,103.52
2006,7,18,99.92
2006,7,19,97.43
2006,7,20,96.96
2006,7,21,98.34
2006,7,22,98.81
2006,7,23,99
2006,7,24,100.23
2006,7,25,101.85
2006,7,26,104.52
2006,7,27,106.77
2006,7,28,106.75
2006,7,29,108.94
2006,7,30,109.18
2006,7,31,109.13
2006,8,1,109.37
2006,8,2,109.95
2006,8,3,108.93
2006,8,4,108.39
2006,8,5,107.02
2006,8,6,107.38
2006,8,7,106.82
2006,8,8,107.69
2006,8,9,107.76
2006,8,10,107.95
2006,8,11,108.01
2006,8,12,108.41
2006,8,13,108.37
2006,8,14,110.14
2006,8,15,110.39
2006,8,16,110.39
2006,8,17,110.38
2006,8,18,111.41
2006,8,19,111
2006,8,20,111.11
2006,8,21,111.67
2006,8,22,111.3
2006,8,23,112.72
2006,8,24,113.34
2006,8,25,112.29
2006,8,26,115.16
2006,8,27,114.44
2006,8,28,112.61
2006,8,29,111.17
2006,8,30,108.47
2006,8,31,107.26
2006,9,1,109.06
2006,9,2,107.45
2006,9,3,108.15
2006,9,4,110.78
2006,9,5,113.49
2006,9,6,114.9
2006,9,7,116.35
2006,9,8,115.78
2006,9,9,115.44
2006,9,10,115.33
2006,9,11,114.15
2006,9,12,113.89
2006,9,13,113.23
2006,9,14,112.54
2006,9,15,112.91
2006,9,16,115.7
2006,9,17,115.64
2006,9,18,116.77
2006,9,19,118.15
2006,9,20,118.86
2006,9,21,118.22
2006,9,22,118.35
2006,9,23,114.13
2006,9,24,114.35
2006,9,25,112.69
2006,9,26,111.53
2006,9,27,110.97
2006,9,28,113.07
2006,9,29,112.87
2006,9,30,116.06
2006,10,1,116.42
2006,10,2,118.66
2006,10,3,118.44
2006,10,4,116.07
2006,10,5,112.52
2006,10,6,112.37
2006,10,7,110.87
2006,10,8,110.6
2006,10,9,108.3
2006,10,10,100.78
2006,10,11,103.42
2006,10,12,105.89
2006,10,13,107.84
2006,10,14,108.56
2006,10,15,108.28
