연도,지자체명,생활폐기물 반입량(kg)
1999,인천광역시,461231170
2000,인천광역시,463590780
2001,인천광역시,414037340
2002,인천광역시,324496020
2003,인천광역시,277186510
2004,인천광역시,231221420
2005,인천광역시,172391670
2006,인천광역시,103978111
2007,인천광역시,102106400
2008,인천광역시,99581110
2009,인천광역시,105841692
2010,인천광역시,95928652
2011,인천광역시,54769780
2012,인천광역시,35523180
2013,인천광역시,47896040
2014,인천광역시,52944720
2015,인천광역시,57870600
2016,인천광역시,70179470
2017,인천광역시,86009070
2018,인천광역시,106888000
2019,인천광역시,126603760
2020,인천광역시,112201020
