순번/순위,구분,label,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
987.0,자기계발,0,엘리먼트,8950959291,9788950959296.0,3320.0,21세기북스,"켄 로빈슨.루 애로니카 지음, 정미나 옮김","16,000","14,400","1,600",10%,800점,20161025.0,391.0
5.0,자기계발,1,게으름도 습관이다,895277776X,9788952777768.0,3320.0,알키,최명기 지음,"14,000","12,600","1,400",10%,700점,20170105.0,2868.0
17.0,자기계발,1,하기 싫은 일을 하는 힘,K372536972,9791187332060.0,3320.0,사우,홍주현 지음,"13,000","11,700","1,300",10%,650점,20170125.0,1071.0
22.0,자기계발,1,거절당하기 연습,K692536078,9791157841684.0,13320.0,한빛비즈,"지아 장 지음, 임지연 옮김","13,000","11,700","1,300",10%,650점,20170124.0,2182.0
27.0,자기계발,1,놀면서 뇌가 쌩쌩해지는 뇌자극 플레이북 1,K692536964,8809482280144.0,1.0,42미디어콘텐츠,창의개발연구회 지음,"8,400","5,880","2,520",30%,60점,20170110.0,677.0
30.0,자기계발,1,부자는 왜 필사적으로 교양을 배우는가,8984458376,9788984458376.0,3190.0,시그마북스,"가야 게이치 지음, 최은지 옮김","13,500","12,150","1,350",10%,670점,20170110.0,394.0
32.0,자기계발,1,생각이 행동으로 변하는 8가지 방법,8931455240,9788931455243.0,13320.0,영진.com(영진닷컴),온은주 지음,"13,000","11,700","1,300",10%,650점,20170112.0,435.0
45.0,자기계발,1,일상을 심플하게,K332536760,9791186688700.0,3320.0,나무생각,"마스노 슌묘 지음, 장은주 옮김","12,800","11,520","1,280",10%,640점,20170109.0,523.0
51.0,자기계발,1,1만권 독서법,8960863149,9788960863149.0,3320.0,위즈덤하우스,"인나미 아쓰시, 장은주 옮김","12,000","10,800","1,200",10%,600점,20170119.0,1154.0
54.0,자기계발,1,스무 살 클레오파트라처럼,K262536668,9791185035758.0,3320.0,차이정원,이지성 지음,"14,000","12,600","1,400",10%,700점,20170119.0,1054.0
64.0,자기계발,1,인지니어스,8901214490,9788901214498.0,3320.0,리더스북,"티나 실리그 지음, 김소희 옮김","14,000","12,600","1,400",10%,700점,20170110.0,1267.0
66.0,자기계발,1,습관 혁명,K462535352,9791186404829.0,13320.0,팬덤북스,"마크 레클라우 지음, 김성준 옮김","13,000","11,700","1,300",10%,650점,20161223.0,112.0
69.0,자기계발,1,사람의 마음을 얻는 대화의 기술 48가지,K422536260,9791186151075.0,13320.0,리텍콘텐츠,"타니모토 유카 지음, 이선영 옮김","15,000","13,500","1,500",10%,750점,20170109.0,321.0
80.0,자기계발,1,디자인 유어 라이프,8937889242,9788937889240.0,3300.0,와이즈베리,"빌 버넷.데이브 에번스 지음, 김정혜 옮김","15,000","13,500","1,500",10%,750점,20170105.0,653.0
93.0,자기계발,1,"버리고, 비우기",8992914792,9788992914796.0,13320.0,터치아트,"가비 림멜레 지음, 장혜경 옮김","12,000","10,800","1,200",10%,600점,20170105.0,98.0
96.0,자기계발,1,"인벤톨로지 : 불평가, 문외한, 몽상가, 낙오자, 불법 거주자, 눈엣가시들의 역사",K622536962,9791195968619.0,3320.0,클레마지크,"페이건 케네디 지음, 강유리 옮김","15,000","13,500","1,500",10%,750점,20161223.0,182.0
97.0,자기계발,1,사장은 혼자 울지 않는다,K462535556,9791186665435.0,3100.0,유노북스,"모리야 히로시 지음, 김진연 옮김","14,500","13,050","1,450",10%,720점,20170105.0,173.0
100.0,자기계발,1,평생 걱정 없이 사는 법,K192536075,9791186665466.0,3190.0,유노북스,"페이융 지음, 허유영 옮김","15,500","13,950","1,550",10%,770점,20170123.0,477.0
106.0,자기계발,1,해피 엔딩 노트,8937889188,9788937889189.0,13800.0,북폴리오,tvN [내게 남은 48시간] 제작팀 지음,"13,000","11,700","1,300",10%,650점,20161222.0,144.0
116.0,자기계발,1,따라 하기로 성공하기,K922536962,9791185419275.0,3320.0,토마토출판사,"다치카와 미쓰아키 지음, 김소영 옮김","12,800","11,520","1,280",10%,640점,20170103.0,225.0
120.0,자기계발,1,원 워드,K852536564,9791130610849.0,13300.0,다산4.0,"존 고든.댄 브리튼.지미 페이지 지음, 이경희 옮김","14,000","12,600","1,400",10%,700점,20170109.0,1424.0
121.0,자기계발,1,인문학 리더십,K552536860,9791185435985.0,3320.0,반니,"조슬린 데이비스 지음, 김지원 옮김","18,000","16,200","1,800",10%,900점,20161226.0,259.0
130.0,자기계발,1,1년만 공부에 미쳐라,896799317X,9788967993177.0,3320.0,북오션,강상구 지음,"14,000","12,600","1,400",10%,700점,20170125.0,193.0
131.0,자기계발,1,세상과 타협하지 않고 진짜 나로 살기 위한 인생 계획,K502535355,9791195708536.0,3320.0,에스파스,"마이클 하얏트, 대니얼 하카비 지음, 소하영 옮김","13,000","11,700","1,300",10%,650점,20161220.0,354.0
142.0,자기계발,1,괴로운 과거와 헤어지는 법,K952536063,9791160570090.0,3180.0,마일스톤,"미즈모토 가즈야 지음, 최려진 옮김","13,000","11,700","1,300",10%,650점,20170102.0,90.0
143.0,자기계발,1,인생을 바꾼 바인더 독서법 & 글쓰기,K362535559,9791195585588.0,13320.0,한국평생교육원,유성환 지음,"18,000","16,200","1,800",10%,900점,20161220.0,244.0
145.0,자기계발,1,내 인생 5년 후,K912434917,9791185439402.0,3320.0,다온북스,하우석 지음,"15,000","13,500","1,500",10%,750점,20160120.0,5635.0
152.0,자기계발,1,감정의 온도,8989456576,9788989456575.0,3320.0,레드박스,김병수 지음,"14,800","13,320","1,480",10%,740점,20170125.0,849.0
153.0,자기계발,1,나는 왜 돈이 없을까,K902536760,9791195771172.0,13320.0,도슨트,"나카가와 준이치로 지음, 손나영 옮김","13,000","11,700","1,300",10%,650점,20170106.0,115.0
159.0,자기계발,1,당신의 하루는 27시간이 된다,K802535453,9791160070972.0,13320.0,한즈미디어(한스미디어),"기무라 아키라코 지음, 김혜영 옮김","12,000","10,800","1,200",10%,600점,20161215.0,76.0
167.0,자기계발,1,한눈파는 시간의 힘,K812535855,9791185952611.0,3190.0,카시오페아,김민영 지음,"14,000","12,600","1,400",10%,700점,20161205.0,98.0
181.0,자기계발,1,20대라면 떠나라,8983799226,9788983799227.0,,혜지원,김태형 지음,"13,500","12,150","1,350",10%,670점,20170220.0,177.0
822.0,자기계발,0,원하는 대로 산다,8969521518,9788969521514.0,3320.0,경향BP,"혼다 켄 지음, 한진아 옮김","13,000","11,700","1,300",10%,650점,20170201.0,393.0
823.0,자기계발,0,괴짜 예술가들의 별난 마케팅,K642536875,9791186404867.0,13320.0,팬덤북스,최정훈 지음,"14,500","13,050","1,450",10%,720점,20170119.0,61.0
824.0,자기계발,0,목소리 트레이닝 4주완성,K322536865,9791195969708.0,13680.0,이모션북스,김규현 지음,"12,000","12,000",0,0%,600점,20170102.0,67.0
825.0,자기계발,0,대학생활팁,8968194505,9788968194504.0,13190.0,atom(아톰),용킹콩(이용익) 지음,"12,800","12,160",640,5%,640점,20161215.0,90.0
826.0,자기계발,0,인생이라는 산에서 내려가는 연습,K012535559,9791187362487.0,13190.0,담앤북스,"마스노 슌묘 지음, 김지연 옮김","13,000","11,700","1,300",10%,650점,20161130.0,41.0
827.0,자기계발,0,나는 경력없이 인맥없이 헤드헌터가 되었다,8997234897,9788997234899.0,3320.0,나비의활주로,문보연 지음,"12,800","11,520","1,280",10%,640점,20161227.0,78.0
828.0,자기계발,0,일 잘하게 하는 리더는 따로 있다,K722535358,9791156024354.0,3320.0,행복에너지,조미옥 지음,"15,000","13,500","1,500",10%,750점,20161215.0,23.0
829.0,자기계발,0,말을 잘 하는 법,K732535252,9791185772387.0,3320.0,출판이안,이주진 지음,"13,800","12,420","1,380",10%,690점,20161207.0,76.0
830.0,자기계발,0,30일 완성 스피치 스킬,8998588145,9788998588144.0,3190.0,서래Books,권수미 지음,"13,700","12,330","1,370",10%,680점,20161201.0,197.0
832.0,자기계발,0,"당신, 충분히 예쁜 사람",8960862959,9788960862951.0,3320.0,위즈덤하우스,"로지 몰리너리 지음, 이정민 옮김","16,000","14,400","1,600",10%,800점,20161129.0,76.0
833.0,자기계발,0,"스타트업 시대에 PM, 프로덕트 매니저로 사는 법",8994797297,9788994797298.0,93320.0,비팬북스,최기훤 지음,"17,000","15,300","1,700",10%,850점,20161121.0,175.0
836.0,자기계발,0,아들러가 전하는 행복을 위한 77가지 교훈,896952133X,9788969521330.0,3320.0,경향BP,"나가에 세이지 지음, 한진아 옮김","12,000","10,800","1,200",10%,600점,20161103.0,2211.0
837.0,자기계발,0,101가지 코칭전략과 기술,K412535932,9791195630523.0,93190.0,코쿱북스,"글래디나 맥마흔.앤 아처 지음, 김민영.한성지 옮김, 김상복 감수","23,000","23,000",0,0%,0점,20161030.0,235.0
838.0,자기계발,0,누가 오래가는가,8950967227,9788950967222.0,3320.0,21세기북스,문성후 지음,"16,000","14,400","1,600",10%,800점,20161115.0,206.0
840.0,자기계발,0,습관의 힘 + 1등의 습관 Special Set - 전2권,8901213540,9788901213545.0,4320.0,갤리온,"찰스 두히그 지음, 강주헌 옮김","24,000","21,600","2,400",10%,"1,200점",20160921.0,212.0
841.0,자기계발,0,스토리로 두 번 합격하라,K242535111,9791170220862.0,3320.0,처음북스,정도성 지음,"13,000","11,700","1,300",10%,650점,20160920.0,49.0
842.0,자기계발,0,직장에서 주목받는 프레젠테이션 능력자,K372535601,9791125426097.0,13320.0,시대인,박혁종 지음,"13,000","11,700","1,300",10%,650점,20161010.0,68.0
844.0,자기계발,0,성격을 읽는 법,8984058688,9788984058682.0,13320.0,더난출판사,"폴 D. 티저.바버라 배런-티저 지음, 강주헌 옮김","13,500","12,150","1,350",10%,670점,20160905.0,493.0
873.0,자기계발,0,국제 이미지 컨설턴트,8995876514,9788995876510.0,,예라고,한국이미지전략연구소 지음,"18,000","18,000",0,0%,0점,20160325.0,49.0
