순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","하버드 새벽 4시 반","K702636215","9791185392080","13190","라이스메이커","웨이슈잉 지음, 이정은 옮김","14,000","12,600","1,400","10%","700점","20141229","9423"
"2","자기계발","습관의 재발견","8997575333","9788997575336","13190","비즈니스북스","스티븐 기즈 지음, 구세희 엮음","13,000","11,700","1,300","10%","650점","20141125","11081"
"3","자기계발","상처받을 용기","8960867462","9788960867468","13320","위즈덤하우스","이승민 지음","11,800","10,620","1,180","10%","590점","20141125","2885"
"4","자기계발","알리바바 마윈의 12가지 인생 강의","1155421868","9791155421864","13320","매일경제신문사","장옌 지음, 김신호 옮김, 현문학 감수","16,000","14,400","1,600","10%","800점","20141107","1966"
"5","자기계발","나는 고작, 서른이다","8993734410","9788993734416","13320","프롬북스","정주영 지음","13,800","12,420","1,380","10%","690점","20141217","966"
"6","자기계발","대화의 신","K842534115","9788960867680","13320","위즈덤하우스","래리 킹 지음, 강서일 옮김","12,800","11,520","1,280","10%","640점","20150127","5894"
"7","자기계발","구글은 어떻게 일하는가","8934969008","9788934969006","13200","김영사","에릭 슈미트 & 조너선 로젠버그 & 앨런 이글 지음, 박병화 옮김","15,800","14,220","1,580","10%","790점","20141017","4215"
"8","자기계발","그때 장자를 만났다","896596136X","9788965961369","13320","흐름출판","강상구 지음","15,000","13,500","1,500","10%","750점","20141121","1625"
"9","자기계발","나는 까칠하게 살기로 했다","899674641X","9788996746416","03320","센추리원","양창순 지음","15,000","13,500","1,500","10%","750점","20120201","13807"
"10","자기계발","사지 않는 습관","1195305818","9791195305810","13320","올댓북스","가네코 유키코 지음, 정지영 옮김","12,000","10,800","1,200","10%","600점","20141120","1681"
"11","자기계발","단","8954634427","9788954634427","03320","문학동네","이지훈 지음","16,000","14,400","1,600","10%","800점","20150122","2011"
"12","자기계발","한 번은 원하는 인생을 살아라","1130604403","9791130604404","13320","다산북스","윤태성 지음","15,000","13,500","1,500","10%","750점","20150113","518"
"13","자기계발","회장님의 글쓰기","1157060226","9791157060221","03320","메디치미디어","강원국 지음","16,000","14,400","1,600","10%","800점","20141210","1785"
"14","자기계발","하루 27시간","1185676147","9791185676142","03190","윌컴퍼니","다카시마 미사토 지음, 서라미 옮김","13,800","12,420","1,380","10%","690점","20150102","336"
"15","자기계발","한 줄의 기적, 감사일기","8965702275","9788965702276","03320","쌤앤파커스","양경윤 지음","14,000","12,600","1,400","10%","700점","20141205","1661"
"16","자기계발","청년장사꾼","113060439X","9791130604398","13320","다산북스","김윤규.청년장사꾼 지음","14,000","12,600","1,400","10%","700점","20141222","856"
"17","자기계발","시크릿 데일리 티칭","8952230329","9788952230324","03320","살림","론다 번 지음, 이민영 옮김","13,800","12,420","1,380","10%","690점","20150101","1456"
"18","자기계발","꿈꾸는 다락방","8974254891","9788974254896","03320","국일미디어(국일출판사)","이지성 지음","13,500","12,150","1,350","10%","670점","20070521","46807"
"19","자기계발","돈보다 운을 벌어라","8965701368","9788965701361","03320","쌤앤파커스","김승호 지음","14,000","12,600","1,400","10%","700점","20130409","9003"
"20","자기계발","리딩으로 리드하라","8954613020","9788954613026","03320","문학동네","이지성 지음","15,000","13,500","1,500","10%","750점","20101117","28753"
"21","자기계발","사는 곳이 운명이다","8965702143","9788965702146","03320","쌤앤파커스","김승호 지음","15,000","13,500","1,500","10%","750점","20140808","3202"
"22","자기계발","설득의 심리학","8950949156","9788950949150","13320","21세기북스","로버트 치알디니 지음, 황혜숙 옮김","16,000","14,400","1,600","10%","800점","20130722","5882"
"23","자기계발","마흔, 논어를 읽어야 할 시간","8950933403","9788950933401","03320","21세기북스","신정근 지음","15,000","13,500","1,500","10%","750점","20111005","12698"
"24","자기계발","365 공부 비타민","896086739X","9788960867390","13190","위즈덤하우스","한재우 지음","12,800","11,520","1,280","10%","640점","20141110","1609"
"25","자기계발","원씽 The One Thing","K572531249","9788997575169","13190","비즈니스북스","게리 켈러 & 제이 파파산 지음, 구세희 옮김","14,000","12,600","1,400","10%","700점","20130820","5559"
"26","자기계발","온워드 Onward","8933870164","9788933870167","13590","8.0","하워드 슐츠 & 조앤 고든 지음, 안진환.장세현 옮김","7,000","6,300","700","10%","350점","20110418","3399"
"27","자기계발","마시멜로 테스트","8947529990","9788947529990","03180","한국경제신문","월터 미셸 지음, 안진환 옮김","15,000","13,500","1,500","10%","750점","20150120","572"
"28","자기계발","어떻게 원하는 것을 얻는가","8933870180","9788933870181","03320","8.0","스튜어트 다이아몬드 지음, 김태훈 옮김","15,000","13,500","1,500","10%","750점","20111130","31277"
"29","자기계발","세계 최고의 인재들은 왜 기본에 집중할까","899757521X","9788997575213","13190","비즈니스북스","도쓰카 다카마사 지음, 김대환 옮김","13,000","11,700","1,300","10%","650점","20140214","5354"
"30","자기계발","그릿 Grit","8965701813","9788965701811","03320","쌤앤파커스","김주환 지음","15,000","13,500","1,500","10%","750점","20131125","3082"
"31","자기계발","왓칭 Watching","893570346X","9788935703463","03320","정신세계사","김상운 지음","13,000","11,700","1,300","10%","650점","20110412","23023"
"32","자기계발","성과를 지배하는 바인더의 힘","1195115806","9791195115808","13190","스타리치북스","강규형 지음","16,000","14,400","1,600","10%","800점","20131005","19255"
"33","자기계발","여자에게 공부가 필요할 때","1195012586","9791195012589","13190","카시오페아","김애리 지음","14,000","12,600","1,400","10%","700점","20140718","1498"
"34","자기계발","기획의 정석","8984073660","9788984073661","13320","세종(세종서적)","박신영 지음","13,000","11,700","1,300","10%","650점","20130510","10747"
"35","자기계발","한 번은 독해져라","1130603342","9791130603346","13320","다산북스","김진애 지음","15,000","13,500","1,500","10%","750점","20140707","3254"
"36","자기계발","카네기 인간관계론 (반양장)","8956370591","9788956370590","04320","씨앗을뿌리는사람","데일 카네기 지음, 최염순 옮김","12,000","10,800","1,200","10%","600점","20041125","36897"
"37","자기계발","30분 회의","1155321243","9791155321249","13320","라온북","정찬우 지음","12,500","11,250","1,250","10%","620점","20150107","933"
"38","자기계발","어떻게 말할 것인가","8925553589","9788925553580","03320","알에이치코리아(RHK)","카민 갤로 지음, 유영훈 옮김","16,000","14,400","1,600","10%","800점","20141006","1734"
