순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","그림의 힘","8996947407","9788996947400","03320","8.0","김선현 지음","18,800","16,920","1,880","10%","940점","20150302","12920"
"2","자기계발","하버드 새벽 4시 반","K702636215","9791185392080","13190","라이스메이커","웨이슈잉 지음, 이정은 옮김","14,000","12,600","1,400","10%","700점","20141229","9423"
"3","자기계발","대화의 신","K842534115","9788960867680","13320","위즈덤하우스","래리 킹 지음, 강서일 옮김","12,800","11,520","1,280","10%","640점","20150127","5894"
"4","자기계발","7번 읽기 공부법","8960868000","9788960868007","13320","위즈덤하우스","야마구찌 마유 지음, 류두진 옮김","11,800","10,620","1,180","10%","590점","20150326","8319"
"5","자기계발","지지 않는 청춘","K302533359","9791155780480","03190","조선뉴스프레스","이케다 다이사쿠 지음","10,000","9,000","1,000","10%","500점","20150316","6991"
"6","자기계발","머릿속 정리의 기술","895659242X","9788956592428","13320","예문","도마베치 히데토 지음, 김정환 옮김","13,000","11,700","1,300","10%","650점","20150315","700"
"7","자기계발","관계 수업","8965961424","9788965961420","03320","흐름출판","데이비드 D. 번즈 지음, 차익종 옮김","15,000","13,500","1,500","10%","750점","20150206","2764"
"8","자기계발","이 모든 걸 처음부터 알았더라면","8994013962","9788994013961","13320","토네이도","칼 필레머 지음, 김수미 옮김","14,000","12,600","1,400","10%","700점","20150225","2263"
"9","자기계발","세계 최고의 인재들은 어떻게 기본을 실천할까","8997575422","9788997575428","13190","비즈니스북스","도쓰카 다카마사 지음, 장은주 옮김","13,000","11,700","1,300","10%","650점","20150228","770"
"10","자기계발","설득의 심리학 3","8950956993","9788950956998","03320","21세기북스","로버트 치알디니 외 지음, 김은령.김호 옮김","15,000","13,500","1,500","10%","750점","20150209","2105"
"11","자기계발","단","8954634427","9788954634427","03320","문학동네","이지훈 지음","16,000","14,400","1,600","10%","800점","20150122","2011"
"12","자기계발","나는 고작, 서른이다","8993734410","9788993734416","13320","프롬북스","정주영 지음","13,800","12,420","1,380","10%","690점","20141217","966"
"13","자기계발","나와 마주서는 용기","8997575406","9788997575404","03190","비즈니스북스","로버트 스티븐 캐플런 지음, 이은경 옮김","13,800","12,420","1,380","10%","690점","20150131","1851"
"14","자기계발","습관의 재발견","8997575333","9788997575336","13190","비즈니스북스","스티븐 기즈 지음, 구세희 엮음","13,000","11,700","1,300","10%","650점","20141125","11081"
"15","자기계발","그릿 Grit","8965701813","9788965701811","03320","쌤앤파커스","김주환 지음","15,000","13,500","1,500","10%","750점","20131125","3082"
"16","자기계발","인비저블","8960173827","9788960173828","03320","민음인","데이비드 즈와이그 지음, 박슬라 옮김","16,000","14,400","1,600","10%","800점","20150227","490"
