순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","5년 후 나에게 - Q&A a day","K142434572","9791158510244","14190","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20151116","29832"
"2","자기계발","가끔은 격하게 외로워야 한다","8950962861","9788950962869","03320","21세기북스","김정운 글.그림","19,800","17,820","1,980","10%","990점","20151221","5572"
"3","자기계발","미라클 모닝","K902434025","9791157841110","13320","한빛비즈","할 엘로드 지음, 김현수 옮김","12,000","10,800","1,200","10%","600점","20160222","38976"
"4","자기계발","파이브","K802434379","9791195614905","03320","앵글북스","댄 자드라 지음, 주민아 옮김","13,000","11,700","1,300","10%","650점","20151027","9026"
"5","자기계발","나는 한 번 읽은 책은 절대 잊어버리지 않는다","8970342443","9788970342443","13320","나라원","카바사와 시온 지음, 은영미 옮김","13,500","12,150","1,350","10%","670점","20160120","2294"
"6","자기계발","혼자 있는 시간의 힘","8960868434","9788960868434","03320","위즈덤하우스","사이토 다카시 지음, 장은주 옮김","12,800","11,520","1,280","10%","640점","20150727","15066"
"7","자기계발","부자가 되는 정리의 힘","8960868876","9788960868878","03320","위즈덤하우스","윤선현 지음","13,800","12,420","1,380","10%","690점","20151215","2872"
"8","자기계발","프랑스 여자는 늙지 않는다","8965961777","9788965961772","03320","흐름출판","미레유 길리아노 지음, 박미경 옮김","13,000","11,700","1,300","10%","650점","20160118","2087"
"9","자기계발","카피책","8968330751","9788968330759","14320","허밍버드","정철 지음, 손영삼 이미지","15,000","13,500","1,500","10%","750점","20160125","5643"
"10","자기계발","지속하는 힘","K502434113","9791187147008","13190","아날로그(글담)","고바야시 다다아키 지음, 정은지 옮김","12,500","11,250","1,250","10%","620점","20160203","1009"
"11","자기계발","왓칭 2 Watching 2","8935703974","9788935703975","04320","정신세계사","김상운 지음","17,000","15,300","1,700","10%","850점","20160119","7879"
"12","자기계발","심플하게 산다","8955616473","9788955616477","13320","바다출판사","도미니크 로로 지음, 김성희 옮김","12,000","10,800","1,200","10%","600점","20120903","14053"
"13","자기계발","신경 쓰지 않는 연습","8984075310","9788984075313","03320","세종(세종서적)","나토리 호겐 지음, 이정환 옮김","15,000","13,500","1,500","10%","750점","20151222","2113"
"14","자기계발","유대인 생각공부","K102434176","9791155098844","03320","마일스톤","쑤린 지음, 권용중 옮김","15,000","13,500","1,500","10%","750점","20151102","1441"
"15","자기계발","나는 더 이상 휘둘리지 않기로 했다","8965133645","9788965133643","03190","문학테라피","타라 모어 지음, 오세웅 옮김","15,000","13,500","1,500","10%","750점","20151224","722"
"16","자기계발","시작하기 전에 알았더라면 좋았을 것들","K942434025","9791155099414","03320","마일스톤","티나 실리그 지음, 김효원 옮김","13,000","11,700","1,300","10%","650점","20160222","1061"
"17","자기계발","악당의 명언","1185423397","9791185423395","03190","아르고나인미디어그룹","손호성 지음","10,000","9,000","1,000","10%","500점","20150129","2742"
"18","자기계발","하버드 새벽 4시 반","K702636215","9791185392080","13190","라이스메이커","웨이슈잉 지음, 이정은 옮김","14,000","12,600","1,400","10%","700점","20141229","9423"
"19","자기계발","지금의 조건에서 시작하는 힘","8956054614","9788956054612","13190","북하우스","스티븐 기즈 지음, 조성숙 옮김","15,000","13,500","1,500","10%","750점","20151221","2023"
"20","자기계발","메모 습관의 힘","K652434089","9791158510251","13320","토네이도","신정철 지음","15,000","13,500","1,500","10%","750점","20151125","4207"
"21","자기계발","인생이 빛나는 정리의 마법","8984056723","9788984056725","03320","더난출판사","곤도 마리에 지음, 홍성민 옮김","13,000","11,700","1,300","10%","650점","20120413","7251"
"22","자기계발","미친 집중력","K612434217","9791155423974","13380","매일경제신문사","이와나미 구니아키 지음, 김지영 옮김","12,000","10,800","1,200","10%","600점","20160210","757"
"23","자기계발","3개의 소원 100일의 기적","8934973099","9788934973096","13190","김영사","이시다 히사쓰구 지음, 이수경 옮김","12,800","11,520","1,280","10%","640점","20160111","3287"
"24","자기계발","미친 암기력","K282434823","9791155423981","13380","매일경제신문사","미야구치 기미토시 지음, 김지영 옮김","12,000","10,800","1,200","10%","600점","20160225","876"
"25","자기계발","말하지 않고 이기는 법","K812434516","9791157031702","03190","동양북스(동양문고)","이시다 겐이치 지음, 정혜주 옮김","12,000","10,800","1,200","10%","600점","20160219","291"
"26","자기계발","그림의 힘","8996947407","9788996947400","03320","8.0","김선현 지음","18,800","16,920","1,880","10%","940점","20150302","12920"
"27","자기계발","생각하는 인문학","8954635733","9788954635738","03320","차이","이지성 지음","18,000","16,200","1,800","10%","900점","20150330","8656"
"28","자기계발","생각을 읽는다","K392434404","9791155099247","03320","마일스톤","토르스텐 하베너 지음, 송경은 옮김","14,000","12,600","1,400","10%","700점","20160112","842"
"29","자기계발","조훈현, 고수의 생각법","K962433729","9791186560020","03810","인플루엔셜(주)","조훈현 지음","15,400","13,860","1,540","10%","770점","20150615","6585"
"30","자기계발","성취 습관","8952775473","9788952775474","03320","알키","버나드 로스 지음, 신예경 옮김","17,000","15,300","1,700","10%","850점","20160110","979"
"31","자기계발","이노베이터","K742434304","9791186009475","03320","오픈하우스","월터 아이작슨 지음, 정영목.신지영 옮김","25,000","22,500","2,500","10%","1,250점","20151230","929"
"32","자기계발","리딩으로 리드하라","8954613020","9788954613026","03320","문학동네","이지성 지음","15,000","13,500","1,500","10%","750점","20101117","28753"
"33","자기계발","세계 1%의 철학수업","895096175X","9788950961756","03320","21세기북스","후쿠하라 마사히로 지음, 임해성 옮김","14,000","12,600","1,400","10%","700점","20160219","765"
"34","자기계발","7번 읽기 공부법","8960868000","9788960868007","13320","위즈덤하우스","야마구찌 마유 지음, 류두진 옮김","11,800","10,620","1,180","10%","590점","20150326","8319"
"35","자기계발","혼자가 편한 사람들","8963220974","9788963220970","03320","비전비엔피(비전코리아,애플북스)","도리스 메르틴 지음, 강희진 옮김","16,500","14,850","1,650","10%","820점","20160104","815"
"36","자기계발","기브앤테이크 Give and Take","8962605813","9788962605815","13320","생각연구소","애덤 그랜트 지음, 윤태준 옮김","17,500","15,750","1,750","10%","870점","20130607","14016"
"37","자기계발","카피책 키트 세트","8968330743","9788968330742","1","허밍버드","정철 지음, 손영삼 이미지","18,000","16,200","1,800","10%","900점","20160125","502"
"38","자기계발","7번 읽기 공부 실천법","8947540331","9788947540339","03320","한국경제신문","야마구찌 마유 지음, 이아랑 옮김","12,000","10,800","1,200","10%","600점","20150825","3958"
"39","자기계발","왓칭 Watching","893570346X","9788935703463","03320","정신세계사","김상운 지음","13,000","11,700","1,300","10%","650점","20110412","23023"
"40","자기계발","운명수업","K832434401","9788971905166","03320","동학사","김승호 지음","14,000","12,600","1,400","10%","700점","20160105","1412"
"41","자기계발","책장의 정석","8963220966","9788963220963","03020","비전비엔피(비전코리아,애플북스)","나루케 마코토 지음, 최미혜 옮김","14,900","13,410","1,490","10%","740점","20151215","480"
"42","자기계발","유대인의 생각하는 힘","K582434307","9791186039441","13320","라의눈","이상민 지음","16,000","14,400","1,600","10%","800점","20160104","813"
"43","자기계발","나를 발견하는 시간","K852434011","9791185035246","03320","생각정원","양영은 지음","16,000","14,400","1,600","10%","800점","20160122","512"
"44","자기계발","흔들리는 나에게 필요한 한 마디","8998658313","9788998658311","03320","타커스(끌레마)","서윤진 지음","12,800","11,520","1,280","10%","640점","20160122","500"
"45","자기계발","행운 연습","8935210552","9788935210558","03320","청림출판","류쉬안 지음, 류방승 옮김","13,800","12,420","1,380","10%","690점","20160121","219"
"46","자기계발","내 옆에는 왜 이상한 사람이 많을까?","1157030106","9791157030101","13190","동양북스(동양문고)","산드라 뤼프케스 & 모니카 비트블룸 외 지음, 서유리 옮김","13,500","12,150","1,350","10%","670점","20140630","3503"
"47","자기계발","설득의 심리학","8950949156","9788950949150","13320","21세기북스","로버트 치알디니 지음, 황혜숙 옮김","16,000","14,400","1,600","10%","800점","20130722","5882"
"48","자기계발","과잉 근심","K452434726","9791187147015","03190","아날로그(글담)","리쯔쉰 지음, 강은영 옮김","12,500","11,250","1,250","10%","620점","20160222","767"
"49","자기계발","미쳐야 사업이다","K842434413","9791130607191","13320","다산3.0","스기모토 히로유키 지음, 동소현 옮김","14,000","12,600","1,400","10%","700점","20160129","171"
