순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","타이탄의 도구들","K162530537","9791158510619","03190","토네이도","팀 페리스 지음, 박선령 외 옮김","15,000","13,500","1,500","10%","750점","20170403","10894"
"2","자기계발","1시간에 1권 퀀텀 독서법","8935211605","9788935211609","03320","청림출판","김병완 지음","15,000","13,500","1,500","10%","750점","20170331","6064"
"3","자기계발","에고라는 적","8965962099","9788965962090","03190","흐름출판","라이언 홀리데이 지음, 이경식 옮김","14,800","13,320","1,480","10%","740점","20170403","5930"
"4","자기계발","영어책 한 권 외워봤니?","8960863130","9788960863132","03320","위즈덤하우스","김민식 지음","14,000","12,600","1,400","10%","700점","20170111","14430"
"5","자기계발","말투 하나 바꿨을 뿐인데","K662530939","9791186665503","03190","유노북스","나이토 요시히토 지음, 김한나 옮김","13,000","11,700","1,300","10%","650점","20170310","4920"
"6","자기계발","그릿 GRIT","K182535923","9791186805398","03190","비즈니스북스","앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600","10%","800점","20161025","16933"
"7","자기계발","엘리트 마인드","K192530948","9791159311130","03320","비즈페이퍼","스탠 비첨 지음, 차백만 옮김","15,000","13,500","1,500","10%","750점","20170330","1759"
"8","자기계발","완벽한 공부법","K652535357","9791160486735","03810","로크미디어","고영성.신영준 지음","19,800","17,820","1,980","10%","990점","20170106","23722"
"9","자기계발","딥 워크","8937434083","9788937434082","03320","민음사","칼 뉴포트 지음, 김태훈 옮김","15,000","13,500","1,500","10%","750점","20170401","6266"
"10","자기계발","9등급 꼴찌, 1년 만에 통역사 된 비법","8901215705","9788901215709","03320","리더스북","장동완 지음","14,000","12,600","1,400","10%","700점","20170410","2478"
"11","자기계발","약간의 거리를 둔다","K912535328","9791186274156","03830","책읽는고양이","소노 아야코 지음, 김욱 옮김","9,900","8,910","990","10%","490점","20161020","15634"
"12","자기계발","5년 후 나에게 - Q&A a day","K142434572","9791158510244","14190","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20151116","29832"
"13","자기계발","아침 5시의 기적","K082536574","9791186805534","03190","비즈니스북스","제프 샌더스 지음, 박은지 옮김","13,000","11,700","1,300","10%","650점","20170210","4171"
"14","자기계발","혼자 잘해주고 상처받지 마라","8950967294","9788950967291","03320","21세기북스","유은정 지음","15,000","13,500","1,500","10%","750점","20161027","7930"
"15","자기계발","신혼 살림법","8968331316","9788968331312","13590","나무수","최정인 지음","15,000","13,500","1,500","10%","750점","20170407","846"
"16","자기계발","기적의 집중력","K122536189","9791186805558","03190","비즈니스북스","모리 겐지로 지음, 정지영 옮김","12,800","11,520","1,280","10%","640점","20170228","1569"
"17","자기계발","생각정리스킬","K082536066","9791195901968","13320","천그루숲","복주환 지음","14,000","12,600","1,400","10%","700점","20170120","9191"
"18","자기계발","기쁨에 접속하라","8952778049","9788952778048","03320","알키","차드 멩 탄 지음, 유정은 옮김","15,000","13,500","1,500","10%","750점","20170320","1035"
"19","자기계발","아웃풋 독서법","K592530649","9791158150051","03190","북포스","이세훈 지음","15,000","13,500","1,500","10%","750점","20170420","449"
"20","자기계발","최고의 설득","8925561158","9788925561158","03320","알에이치코리아(RHK)","카민 갤로 지음, 김태훈 옮김","16,000","14,400","1,600","10%","800점","20170306","1788"
"21","자기계발","어휘력이 교양이다","K782530044","9791157841738","13320","한빛비즈","사이토 다카시 지음, 장은주 옮김","13,800","12,420","1,380","10%","690점","20170331","313"
