순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","영어책 한 권 외워봤니?","8960863130","9788960863132","03320","위즈덤하우스","김민식 지음","14,000","12,600","1,400","10%","700점","20170111","14430"
"2","자기계발","완벽한 공부법","K652535357","9791160486735","03810","로크미디어","고영성.신영준 지음","19,800","17,820","1,980","10%","990점","20170106","23722"
"3","자기계발","아침 5시의 기적","K082536574","9791186805534","03190","비즈니스북스","제프 샌더스 지음, 박은지 옮김","13,000","11,700","1,300","10%","650점","20170210","4171"
"4","자기계발","그릿 GRIT","K182535923","9791186805398","03190","비즈니스북스","앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600","10%","800점","20161025","16933"
"5","자기계발","5년 후 나에게 - Q&A a day","K142434572","9791158510244","14190","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20151116","29832"
"6","자기계발","약간의 거리를 둔다","K912535328","9791186274156","03830","책읽는고양이","소노 아야코 지음, 김욱 옮김","9,900","8,910","990","10%","490점","20161020","15634"
"7","자기계발","게으름도 습관이다","895277776X","9788952777768","03320","알키","최명기 지음","14,000","12,600","1,400","10%","700점","20170105","2868"
"8","자기계발","1만권 독서법","8960863149","9788960863149","03320","위즈덤하우스","인나미 아쓰시, 장은주 옮김","12,000","10,800","1,200","10%","600점","20170119","1154"
"9","자기계발","생각정리스킬","K082536066","9791195901968","13320","천그루숲","복주환 지음","14,000","12,600","1,400","10%","700점","20170120","9191"
"10","자기계발","혼자 잘해주고 상처받지 마라","8950967294","9788950967291","03320","21세기북스","유은정 지음","15,000","13,500","1,500","10%","750점","20161027","7930"
"11","자기계발","넌 지금 그걸 말이라고 하세요?","K342535158","9791195961900","13000","어나더북(Anotherbook)","윤영미 지음","11,500","10,350","1,150","10%","570점","20161212","1551"
"12","자기계발","나는 이제 참지 않고 말하기로 했다","8993635765","9788993635768","03190","갈매나무","니콜 슈타우딩거 지음, 장혜경 옮김","14,000","12,600","1,400","10%","700점","20161220","1839"
"13","자기계발","인지니어스","8901214490","9788901214498","03320","리더스북","티나 실리그 지음, 김소희 옮김","14,000","12,600","1,400","10%","700점","20170110","1267"
"14","자기계발","하기 싫은 일을 하는 힘","K372536972","9791187332060","03320","사우","홍주현 지음","13,000","11,700","1,300","10%","650점","20170125","1071"
"15","자기계발","미니멀라이프 아이디어 55","K432536965","9791155360545","13590","즐거운상상","미쉘 지음, 김수정 옮김","13,000","11,700","1,300","10%","650점","20170116","797"
"16","자기계발","나는 까칠하게 살기로 했다","K892535547","9791130610450","03320","다산북스","양창순 지음","15,000","13,500","1,500","10%","750점","20161129","3691"
"17","자기계발","거절당하기 연습","K692536078","9791157841684","13320","한빛비즈","지아 장 지음, 임지연 옮김","13,000","11,700","1,300","10%","650점","20170124","2182"
"18","자기계발","말할 수 없는 비밀 들리지 않는 진실","K742536462","9791195446568","03300","베리북","윤재성 지음","12,000","10,800","1,200","10%","600점","20170105","649"
"19","자기계발","알면서도 알지 못하는 것들","K052536963","9791195963300","03320","스노우폭스북스","김승호 지음, 권아리 그림","15,800","14,220","1,580","10%","790점","20170110","3755"
"20","자기계발","미라클 모닝","K902434025","9791157841110","13320","한빛비즈","할 엘로드 지음, 김현수 옮김","12,000","10,800","1,200","10%","600점","20160222","38976"
"21","자기계발","대통령의 말하기","8960869708","9788960869707","03320","위즈덤하우스","윤태영 지음","15,000","13,500","1,500","10%","750점","20160824","6360"
"22","자기계발","글쓰기가 필요하지 않은 인생은 없다","K912536573","9791185952673","03190","카시오페아","김애리 지음","14,000","12,600","1,400","10%","700점","20170213","1381"
