순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","신경 끄기의 기술","8901219948","9788901219943","03190","갤리온","마크 맨슨 지음, 한재호 옮김","15,000","13,500","1,500","10%","750점","20171027","26149"
"2","자기계발","말 그릇","K302531124","9791185952987","03190","카시오페아","김윤나 지음","15,000","13,500","1,500","10%","750점","20170921","34354"
"3","자기계발","5년 후 나에게 - Q&A a day (2018 블랙 리미티드 에디션)","K982531051","9791158510244","14190
","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20171201","5596"
"4","자기계발","일취월장","K682532360","9791129429506","03320","로크미디어","고영성.신영준 지음","22,000","19,800","2,200","10%","1,100점","20171207","9651"
"5","자기계발","인생이 두근거리는 노트의 마법","8998075466","9788998075460","03190","라이팅하우스","컴투게더 노트연구회 지음, 강은혜 옮김","15,000","13,500","1,500","10%","750점","20171108","3034"
"6","자기계발","말의 품격","K322733332","9788997092772","03810","황소북스","이기주 지음","14,500","13,050","1,450","10%","720점","20170529","23341"
"7","자기계발","엄마의 자존감 공부","8950972220","9788950972226","03320","21세기북스","김미경 지음","16,000","14,400","1,600","10%","800점","20171108","5199"
"8","자기계발","어떻게 원하는 것을 얻는가 (밀리언 특별판)","K392531446","9791196045500","03320","8.0","스튜어트 다이아몬드 지음, 김태훈 옮김","16,000","14,400","1,600","10%","800점","20171108","9762"
"9","자기계발","하루 5분 아침 일기","K132531341","9791158730956","13190","심야책방","인텔리전트 체인지 지음, 정지현 옮김","19,800","17,820","1,980","10%","990점","20171106","12810"
"10","자기계발","겟 스마트","K542531658","9791196132644","03320","빈티지하우스","브라이언 트레이시 지음, 허선영 옮김","15,000","13,500","1,500","10%","750점","20171125","2034"
"11","자기계발","횡설수설하지 않고 정확하게 설명하는 법","8993635854","9788993635850","03320","갈매나무","고구레 다이치 지음, 황미숙 옮김","13,000","11,700","1,300","10%","650점","20170828","8489"
"12","자기계발","약간의 거리를 둔다","K912535328","9791186274156","03830","책읽는고양이","소노 아야코 지음, 김욱 옮김","9,900","8,910","990","10%","490점","20161020","15634"
"13","자기계발","그들은 책 어디에 밑줄을 긋는가","K552531752","9791186805916","03190","비즈니스북스","도이 에이지 지음, 이자영 옮김","13,000","11,700","1,300","10%","650점","20171125","1560"
"14","자기계발","일일일책","K492531959","9791188077069","03190","레드스톤","장인옥 지음","14,000","12,600","1,400","10%","700점","20171110","827"
"15","자기계발","나는 4시간만 일한다","K392531430","9791185584454","03320","다른상상","팀 페리스 지음, 최원형.윤동준 옮김","14,800","13,320","1,480","10%","740점","20171020","4753"
"16","자기계발","모든 것이 되는 법","8901220741","9788901220741","03190","웅진지식하우스","에밀리 와프닉 지음, 김보미 옮김","14,800","13,320","1,480","10%","740점","20171201","6513"
"17","자기계발","잘했어요 노트","K702531658","9791162201121","03320","위즈덤하우스","나가야 겐이치 지음, 장은주 옮김","13,800","12,420","1,380","10%","690점","20171127","770"
"18","자기계발","완벽한 공부법","K652535357","9791160486735","03810","로크미디어","고영성.신영준 지음","19,800","17,820","1,980","10%","990점","20170106","23722"
"19","자기계발","와비사비 라이프","K222531349","9791155811344","13590","윌북","줄리 포인터 애덤스 지음, 박여진 옮김","14,800","13,320","1,480","10%","740점","20171120","1715"
"20","자기계발","타이탄의 도구들","K162530537","9791158510619","03190","토네이도","팀 페리스 지음, 박선령 외 옮김","15,000","13,500","1,500","10%","750점","20170403","10894"
"21","자기계발","하루 3줄 영어 일기","K532531251","9791157842131","13740","한빛비즈","ALC 편집부 지음, 정은희 옮김","15,000","13,500","1,500","10%","750점","20171127","3545"
"22","자기계발","2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇","K992531708","9791186688960","03320","나무생각","고이케 히로시 지음, 이정환 옮김","12,800","11,520","1,280","10%","640점","20170814","10679"
"23","자기계발","운명을 바꾸는 노트의 힘","K912532763","9791158150136","03190","북포스","홍현수 지음","14,000","12,600","1,400","10%","700점","20171222","670"
"24","자기계발","운을 읽는 변호사","K172531235","9791186116173","03320","알투스","니시나카 쓰토무 지음, 최서희 옮김","13,800","12,420","1,380","10%","690점","20171023","5690"
"25","자기계발","재능은 어떻게 단련되는가?","896051103X","9788960511033","03320","부키","제프 콜빈 지음, 김정희 옮김","14,000","12,600","1,400","10%","700점","20100818","3080"
"26","자기계발","그릿 GRIT","K182535923","9791186805398","03190","비즈니스북스","앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600","10%","800점","20161025","16933"
"27","자기계발","스탠퍼드식 최고의 수면법","K392531846","9791185459912","03510","북라이프","니시노 세이지 지음, 조해선 옮김","14,000","12,600","1,400","10%","700점","20171031","1754"
"28","자기계발","퍼즈","K052531156","9791130614892","03190","다산북스","레이첼 오마라 지음, 김윤재 옮김","14,000","12,600","1,400","10%","700점","20171116","547"
"29","자기계발","영어책 한 권 외워봤니?","8960863130","9788960863132","03320","위즈덤하우스","김민식 지음","14,000","12,600","1,400","10%","700점","20170111","14430"
"30","자기계발","다섯 가지 상처","K982531352","9791187512219","03190","앵글북스","리즈 부르보 지음, 박선영 옮김","14,500","13,050","1,450","10%","720점","20171130","772"
"31","자기계발","마흔, 혼자 공부를 시작했다","K172532877","9791160503586","03100","더퀘스트","와다 히데키 지음, 장은주 옮김","14,000","12,600","1,400","10%","700점","20171215","912"
"32","자기계발","온 파이어","8901220407","9788901220406","03190","갤리온","존 오리어리 지음, 백지선 옮김","15,000","13,500","1,500","10%","750점","20171122","537"
"33","자기계발","그릿 실천법","K042532961","9791187856313","03190","보랏빛소","캐런 바루크 펠드먼 지음, 김지선 옮김","15,000","13,500","1,500","10%","750점","20171128","568"
"34","자기계발","혼자 잘해주고 상처받지 마라 (리커버 한정판 스페셜 에디션)","8950973014","9788950973018","03320","21세기북스","유은정 지음","15,000","13,500","1,500","10%","750점","20171213","4190"
"35","자기계발","절제의 성공학","8992382138","9788992382137","13320","바람","미즈노 남보쿠 지음, 류건 엮음, 권세진 옮김","11,500","10,350","1,150","10%","570점","20130725","19941"
"36","자기계발","닥터 도티의 삶을 바꾸는 마술가게","K912535488","9791158881405","03320","판미동","제임스 도티 지음, 주민아 옮김","14,800","13,320","1,480","10%","740점","20160712","15310"
"37","자기계발","15도","8935211907","9788935211906","03320","청림출판","김하나 지음","15,000","13,500","1,500","10%","750점","20171221","571"
"38","자기계발","다시 일어서는 힘","K042531450","9791186805930","03190","비즈니스북스","존 C. 맥스웰 지음, 김고명 옮김","15,000","13,500","1,500","10%","750점","20171129","1066"
"39","자기계발","마인드셋","K602531937","9791187165286","03190","스몰빅라이프","캐롤 드웩 지음, 김준수 옮김","16,000","14,400","1,600","10%","800점","20171030","16667"
"40","자기계발","옵션 B","893788898X","9788937888984","03190","와이즈베리","셰릴 샌드버그.애덤 그랜트 지음, 안기순 옮김","16,000","14,400","1,600","10%","800점","20171025","2183"
"41","자기계발","3개의 소원 100일의 기적","8934973099","9788934973096","13190","김영사","이시다 히사쓰구 지음, 이수경 옮김","12,800","11,520","1,280","10%","640점","20160111","3287"
"42","자기계발","끌리는 사람은 매출이 다르다","K512531355","9791188230211","03320","나비의활주로","김주하 지음","13,500","12,150","1,350","10%","670점","20171129","2089"
"43","자기계발","그럼에도 사는 게 쉽지 않을 때","K232531150","9791185541655","13190","스마트북스","우만란쟝 지음, 오하나 옮김","14,800","13,320","1,480","10%","740점","20171120","328"
"44","자기계발","알면서도 알지 못하는 것들","K052536963","9791195963300","03320","스노우폭스북스","김승호 지음, 권아리 그림","15,800","14,220","1,580","10%","790점","20170110","3755"
"45","자기계발","1등의 기억법","8998625318","9788998625313","03180","좋은날들","야마구치 사키코 지음, 이해수 옮김","13,000","11,700","1,300","10%","650점","20171120","599"
"46","자기계발","나는 더 이상 눈치 보지 않기로 했다","8935211893","9788935211890","03320","청림출판","노은혜 지음","14,800","13,320","1,480","10%","740점","20171128","673"
"47","자기계발","생각의 비밀","8997287095","9788997287093","13320","황금사자","김승호 지음","14,000","12,600","1,400","10%","700점","20150915","25082"
"48","자기계발","모든 관계는 말투에서 시작된다","K592534093","9788960863859","03320","위즈덤하우스","김범준 지음","12,800","11,520","1,280","10%","640점","20170619","3662"
"49","자기계발","그래요, 나 민감해요","8958076674","9788958076674","03190","뜨인돌","나가누마 무츠오 지음, 서수지 옮김","12,000","10,800","1,200","10%","600점","20171115","554"
"50","자기계발","백만불짜리 습관","899558551X","9788995585511","13320","용오름","브라이언 트레이시 지음, 서사봉 옮김","10,000","9,000","1,000","10%","500점","20050122","14372"
"51","자기계발","백만장자 시크릿","8925520389","9788925520384","03320","알에이치코리아(RHK)","하브 에커 지음, 나선숙 옮김","12,000","10,800","1,200","10%","600점","20080716","8127"
"52","자기계발","인생단어","8993354901","9788993354904","13320","한국능률협회컨설팅(KMAC)","존 고든 지음","15,000","13,500","1,500","10%","750점","20171107","821"
"53","자기계발","파리에서 도시락을 파는 여자","K512531846","9791130614670","03320","다산3.0","켈리 최 지음","15,000","13,500","1,500","10%","750점","20171023","8578"
"54","자기계발","프레임","8950966441","9788950966447","03320","21세기북스","최인철 지음","16,000","14,400","1,600","10%","800점","20160901","12261"
