순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","대화의 신","K842534115","9788960867680","13320","위즈덤하우스","래리 킹 지음, 강서일 옮김","12,800","11,520","1,280","10%","640점","20150127","5894"
"2","자기계발","하버드 새벽 4시 반","K702636215","9791185392080","13190","라이스메이커","웨이슈잉 지음, 이정은 옮김","14,000","12,600","1,400","10%","700점","20141229","9423"
"3","자기계발","설득의 심리학 3","8950956993","9788950956998","03320","21세기북스","로버트 치알디니 외 지음, 김은령.김호 옮김","15,000","13,500","1,500","10%","750점","20150209","2105"
"4","자기계발","습관의 재발견","8997575333","9788997575336","13190","비즈니스북스","스티븐 기즈 지음, 구세희 엮음","13,000","11,700","1,300","10%","650점","20141125","11081"
"5","자기계발","단","8954634427","9788954634427","03320","문학동네","이지훈 지음","16,000","14,400","1,600","10%","800점","20150122","2011"
"6","자기계발","나와 마주서는 용기","8997575406","9788997575404","03190","비즈니스북스","로버트 스티븐 캐플런 지음, 이은경 옮김","13,800","12,420","1,380","10%","690점","20150131","1851"
"7","자기계발","관계 수업","8965961424","9788965961420","03320","흐름출판","데이비드 D. 번즈 지음, 차익종 옮김","15,000","13,500","1,500","10%","750점","20150206","2764"
"8","자기계발","이 모든 걸 처음부터 알았더라면","8994013962","9788994013961","13320","토네이도","칼 필레머 지음, 김수미 옮김","14,000","12,600","1,400","10%","700점","20150225","2263"
"9","자기계발","사람이 운명이다","8965702410","9788965702412","03320","쌤앤파커스","김승호 지음","15,000","13,500","1,500","10%","750점","20150216","4698"
"10","자기계발","사지 않는 습관","1195305818","9791195305810","13320","올댓북스","가네코 유키코 지음, 정지영 옮김","12,000","10,800","1,200","10%","600점","20141120","1681"
"11","자기계발","나는 고작, 서른이다","8993734410","9788993734416","13320","프롬북스","정주영 지음","13,800","12,420","1,380","10%","690점","20141217","966"
"12","자기계발","설득의 심리학","8950949156","9788950949150","13320","21세기북스","로버트 치알디니 지음, 황혜숙 옮김","16,000","14,400","1,600","10%","800점","20130722","5882"
"13","자기계발","상처받을 용기","8960867462","9788960867468","13320","위즈덤하우스","이승민 지음","11,800","10,620","1,180","10%","590점","20141125","2885"
"14","자기계발","마시멜로 테스트","8947529990","9788947529990","03180","한국경제신문","월터 미셸 지음, 안진환 옮김","15,000","13,500","1,500","10%","750점","20150120","572"
"15","자기계발","한 번은 원하는 인생을 살아라","1130604403","9791130604404","13320","다산북스","윤태성 지음","15,000","13,500","1,500","10%","750점","20150113","518"
"16","자기계발","설득의 심리학 2","8950957671","9788950957674","03320","21세기북스","로버트 치알디니 & 노아 골드스타인 & 스티브 마틴 지음, 윤미나 옮김","15,000","13,500","1,500","10%","750점","20150209","898"
"17","자기계발","하버드의 생각수업","8964655826","9788964655825","03320","엔트리(메가스터디북스)","후쿠하라 마사히로 지음, 김정환 옮김","14,000","12,600","1,400","10%","700점","20140310","2609"
"18","자기계발","브리프","8984057983","9788984057982","03320","더난출판사","조셉 맥코맥 지음, 홍선영 옮김","13,000","11,700","1,300","10%","650점","20150201","457"
"19","자기계발","나는 까칠하게 살기로 했다","899674641X","9788996746416","03320","센추리원","양창순 지음","15,000","13,500","1,500","10%","750점","20120201","13807"
"20","자기계발","나는 1주일에 4시간 일하고 1000만 원 번다","1155321367","9791155321362","13320","라온북","신태순 지음","13,800","12,420","1,380","10%","690점","20150120","550"
"21","자기계발","사람은 누구나 폭탄이다","8932916985","9788932916989","03040","열린책들","박웅현.TBWA 주니어보드와 망치.TBWA 0팀 지음","12,800","11,520","1,280","10%","640점","20150210","543"
"22","자기계발","타임 매직","1130604616","9791130604619","13320","다산북스","리 코커렐 지음, 배윤신 옮김","13,000","11,700","1,300","10%","650점","20150128","445"
"23","자기계발","그릿 Grit","8965701813","9788965701811","03320","쌤앤파커스","김주환 지음","15,000","13,500","1,500","10%","750점","20131125","3082"
"24","자기계발","에센셜리즘","8925553376","9788925553375","13320","알에이치코리아(RHK)","그렉 맥커운 지음, 김원호 옮김","15,000","13,500","1,500","10%","750점","20140919","8507"
"25","자기계발","구글은 어떻게 일하는가","8934969008","9788934969006","13200","김영사","에릭 슈미트 & 조너선 로젠버그 & 앨런 이글 지음, 박병화 옮김","15,800","14,220","1,580","10%","790점","20141017","4215"
"26","자기계발","꿈꾸는 다락방","8974254891","9788974254896","03320","국일미디어(국일출판사)","이지성 지음","13,500","12,150","1,350","10%","670점","20070521","46807"
"27","자기계발","루키 스마트","8947530026","9788947530026","03320","한국경제신문","리즈 와이즈먼 지음, 김태훈 옮김","14,000","12,600","1,400","10%","700점","20150126","284"
"28","자기계발","고수의 보고법","8993952590","9788993952599","13320","옥당(북커스베르겐)","박종필 지음","15,000","13,500","1,500","10%","750점","20150125","2339"
"29","자기계발","통찰, 평범에서 비범으로","895277244X","9788952772442","03320","알키","게리 클라인 지음, 김창준 옮김","16,000","14,400","1,600","10%","800점","20150115","845"
"30","자기계발","돈보다 운을 벌어라","8965701368","9788965701361","03320","쌤앤파커스","김승호 지음","14,000","12,600","1,400","10%","700점","20130409","9003"
"31","자기계발","여자에게 공부가 필요할 때","1195012586","9791195012589","13190","카시오페아","김애리 지음","14,000","12,600","1,400","10%","700점","20140718","1498"
"32","자기계발","리딩으로 리드하라","8954613020","9788954613026","03320","문학동네","이지성 지음","15,000","13,500","1,500","10%","750점","20101117","28753"
"33","자기계발","마흔, 논어를 읽어야 할 시간","8950933403","9788950933401","03320","21세기북스","신정근 지음","15,000","13,500","1,500","10%","750점","20111005","12698"
"34","자기계발","365 공부 비타민","896086739X","9788960867390","13190","위즈덤하우스","한재우 지음","12,800","11,520","1,280","10%","640점","20141110","1609"
"35","자기계발","최고의 리더는 어떻게 사람을 움직이는가","1186039124","9791186039120","13320","라의눈","리 슈에청 지음, 정세경 옮김","14,000","12,600","1,400","10%","700점","20150105","401"
"36","자기계발","독서 천재가 된 홍대리","896370632X","9788963706320","03320","다산라이프","이지성.정회일 지음","13,000","11,700","1,300","10%","650점","20110829","13722"
"37","자기계발","어떻게 원하는 것을 얻는가","8933870180","9788933870181","03320","8.0","스튜어트 다이아몬드 지음, 김태훈 옮김","15,000","13,500","1,500","10%","750점","20111130","31277"
"38","자기계발","돈, 사업, 인생","K012535978","9791130604473","13190","다산북스","스기모토 히로유키 지음, 동소현 옮김","14,000","12,600","1,400","10%","700점","20150112","200"
"39","자기계발","시크릿 데일리 티칭","8952230329","9788952230324","03320","살림","론다 번 지음, 이민영 옮김","13,800","12,420","1,380","10%","690점","20150101","1456"
"40","자기계발","한 줄의 기적, 감사일기","8965702275","9788965702276","03320","쌤앤파커스","양경윤 지음","14,000","12,600","1,400","10%","700점","20141205","1661"
"41","자기계발","알리바바 마윈의 12가지 인생 강의","1155421868","9791155421864","13320","매일경제신문사","장옌 지음, 김신호 옮김, 현문학 감수","16,000","14,400","1,600","10%","800점","20141107","1966"
"42","자기계발","심플하게 산다","8955616473","9788955616477","13320","바다출판사","도미니크 로로 지음, 김성희 옮김","12,000","10,800","1,200","10%","600점","20120903","14053"
"43","자기계발","카네기 인간관계론 (반양장)","8956370591","9788956370590","04320","씨앗을뿌리는사람","데일 카네기 지음, 최염순 옮김","12,000","10,800","1,200","10%","600점","20041125","36897"
"44","자기계발","운과 복을 부르는 유머건배사","113060456X","9791130604565","13190","스토리3.0","이상준 지음","14,000","12,600","1,400","10%","700점","20150119","160"
