순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","1만 시간의 재발견","K312535674","9791186805282","03190","비즈니스북스","안데르스 에릭슨.로버트 풀 지음, 강혜정 옮김","16,000","14,400","1,600","10%","800점","20160630","10548"
"2","자기계발","5년 후 나에게 - Q&A a day","K142434572","9791158510244","14190","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20151116","29832"
"3","자기계발","닥터 도티의 삶을 바꾸는 마술가게","K912535488","9791158881405","03320","판미동","제임스 도티 지음, 주민아 옮김","14,800","13,320","1,480","10%","740점","20160712","15310"
"4","자기계발","심리학, 자존감을 부탁해","8993635722","9788993635720","03190","갈매나무","슈테파니 슈탈 지음, 김시형 옮김","14,000","12,600","1,400","10%","700점","20160715","4739"
"5","자기계발","버리는 즐거움","K482535274","9791155424742","13380","생각정거장","야마시타 히데코 지음, 박선형 옮김","13,800","12,420","1,380","10%","690점","20160705","711"
"6","자기계발","평생 돈에 구애받지 않는 법","K912535272","9791186665268","03190","유노북스","고코로야 진노스케 지음, 김한나 옮김","13,000","11,700","1,300","10%","650점","20160627","1219"
"7","자기계발","반응하지 않는 연습","8960869368","9788960869363","03320","위즈덤하우스","구사나기 류슌 지음, 류두진 옮김","12,800","11,520","1,280","10%","640점","20160512","2971"
"8","자기계발","나는 왜 싫다는 말을 못 할까","8960869546","9788960869547","03320","위즈덤하우스","김호 지음","13,000","11,700","1,300","10%","650점","20160629","726"
"9","자기계발","1등의 습관","8901212463","9788901212463","03320","알프레드","찰스 두히그 지음, 강주헌 옮김","16,800","15,120","1,680","10%","840점","20160429","2979"
"10","자기계발","읽으면 살 빠지는 이상한 책","K622535383","9791195807512","03320","스노우폭스북스","지태주 지음, 이주용 그림","14,000","12,600","1,400","10%","700점","20160715","874"
"11","자기계발","오늘부터 미니멀라이프","K722535783","9791155360460","13590","즐거운상상","미쉘 지음, 김수정 옮김","13,000","11,700","1,300","10%","650점","20160715","1128"
"12","자기계발","쓸모없는 짓의 행복","K352535573","9791187345220","03320","더퀘스트","크리스 길아보 지음, 고유라 옮김","15,000","13,500","1,500","10%","750점","20160617","607"
"13","자기계발","김미경의 인생미답","8947540927","9788947540926","03320","한국경제신문","김미경 지음","15,000","13,500","1,500","10%","750점","20160510","3272"
"14","자기계발","나를 사랑하지 않는 나에게","8952776038","9788952776037","03180","시공사","박진영 지음","14,500","13,050","1,450","10%","720점","20160415","1960"
"15","자기계발","미라클 모닝","K902434025","9791157841110","13320","한빛비즈","할 엘로드 지음, 김현수 옮김","12,000","10,800","1,200","10%","600점","20160222","38976"
"16","자기계발","판단의 버릇","8993178658","9788993178654","03320","사이","마이클 J. 모부신 지음, 정준희 옮김","15,000","13,500","1,500","10%","750점","20160620","879"
"17","자기계발","무엇을 놓치고 있는가","8935211109","9788935211104","03320","청림출판","맥스 베이저만 지음, 김태훈 옮김","15,000","13,500","1,500","10%","750점","20160623","451"
"18","자기계발","될 일은 된다","8935704016","9788935704019","03190","정신세계사","마이클 A. 싱어 지음, 김정은 옮김","15,000","13,500","1,500","10%","750점","20160621","9403"
"19","자기계발","생각의 비밀","8997287095","9788997287093","13320","황금사자","김승호 지음","14,000","12,600","1,400","10%","700점","20150915","25082"
"20","자기계발","하루 1분 추리게임","K232535376","9791186834183","14320","베프북스","YM기획 엮음, 전건우 감수","12,800","11,520","1,280","10%","640점","20160624","1337"
