순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","자기계발","신경 끄기의 기술","8901219948","9788901219943","03190","갤리온","마크 맨슨 지음, 한재호 옮김","15,000","13,500","1,500","10%","750점","20171027","26149"
"2","자기계발","횡설수설하지 않고 정확하게 설명하는 법","8993635854","9788993635850","03320","갈매나무","고구레 다이치 지음, 황미숙 옮김","13,000","11,700","1,300","10%","650점","20170828","8489"
"3","자기계발","하루 5분 아침 일기","K132531341","9791158730956","13190","심야책방","인텔리전트 체인지 지음, 정지현 옮김","19,800","17,820","1,980","10%","990점","20171106","12810"
"4","자기계발","말의 품격","K322733332","9788997092772","03810","황소북스","이기주 지음","14,500","13,050","1,450","10%","720점","20170529","23341"
"5","자기계발","엄마의 자존감 공부","8950972220","9788950972226","03320","21세기북스","김미경 지음","16,000","14,400","1,600","10%","800점","20171108","5199"
"6","자기계발","운을 읽는 변호사","K172531235","9791186116173","03320","알투스","니시나카 쓰토무 지음, 최서희 옮김","13,800","12,420","1,380","10%","690점","20171023","5690"
"7","자기계발","인생이 두근거리는 노트의 마법","8998075466","9788998075460","03190","라이팅하우스","컴투게더 노트연구회 지음, 강은혜 옮김","15,000","13,500","1,500","10%","750점","20171108","3034"
"8","자기계발","나는 4시간만 일한다","K392531430","9791185584454","03320","다른상상","팀 페리스 지음, 최원형.윤동준 옮김","14,800","13,320","1,480","10%","740점","20171020","4753"
"9","자기계발","옵션 B","893788898X","9788937888984","03190","와이즈베리","셰릴 샌드버그.애덤 그랜트 지음, 안기순 옮김","16,000","14,400","1,600","10%","800점","20171025","2183"
"10","자기계발","약간의 거리를 둔다","K912535328","9791186274156","03830","책읽는고양이","소노 아야코 지음, 김욱 옮김","9,900","8,910","990","10%","490점","20161020","15634"
"11","자기계발","어떻게 원하는 것을 얻는가 (밀리언 특별판)","K392531446","9791196045500","03320","8.0","스튜어트 다이아몬드 지음, 김태훈 옮김","16,000","14,400","1,600","10%","800점","20171108","9762"
"12","자기계발","그들은 책 어디에 밑줄을 긋는가","K552531752","9791186805916","03190","비즈니스북스","도이 에이지 지음, 이자영 옮김","13,000","11,700","1,300","10%","650점","20171125","1560"
"13","자기계발","마인드셋","K602531937","9791187165286","03190","스몰빅라이프","캐롤 드웩 지음, 김준수 옮김","16,000","14,400","1,600","10%","800점","20171030","16667"
"14","자기계발","와비사비 라이프","K222531349","9791155811344","13590","윌북","줄리 포인터 애덤스 지음, 박여진 옮김","14,800","13,320","1,480","10%","740점","20171120","1715"
"15","자기계발","스탠퍼드식 최고의 수면법","K392531846","9791185459912","03510","북라이프","니시노 세이지 지음, 조해선 옮김","14,000","12,600","1,400","10%","700점","20171031","1754"
"16","자기계발","파리에서 도시락을 파는 여자","K512531846","9791130614670","03320","다산3.0","켈리 최 지음","15,000","13,500","1,500","10%","750점","20171023","8578"
"17","자기계발","말 그릇","K302531124","9791185952987","03190","카시오페아","김윤나 지음","15,000","13,500","1,500","10%","750점","20170921","34354"
"18","자기계발","5년 후 나에게 - Q&A a day (2018 블랙 리미티드 에디션)","K982531051","9791158510244","14190
","토네이도","포터 스타일 지음, 정지현 옮김","14,800","13,320","1,480","10%","740점","20171201","5596"
"19","자기계발","타이탄의 도구들","K162530537","9791158510619","03190","토네이도","팀 페리스 지음, 박선령 외 옮김","15,000","13,500","1,500","10%","750점","20170403","10894"
"20","자기계발","내가 이걸 읽다니!","K782531348","9791186665725","03190","유노북스","나인수 지음","13,000","11,700","1,300","10%","650점","20171103","1645"
"21","자기계발","영어책 한 권 외워봤니?","8960863130","9788960863132","03320","위즈덤하우스","김민식 지음","14,000","12,600","1,400","10%","700점","20170111","14430"
"22","자기계발","사주 경영학","K362531334","9791186805862","03190","비즈니스북스","김원 지음","16,000","14,400","1,600","10%","800점","20171025","972"
"23","자기계발","프랑스인의 방에는 쓰레기통이 없다!","K812531143","9791185676432","13590","윌스타일","미카 포사 지음, 홍미화 옮김","14,000","12,600","1,400","10%","700점","20171030","716"
"24","자기계발","근데, 영화 한 편 씹어먹어 봤니?","K832531237","9791130614427","03320","다산4.0","신왕국 지음","14,000","12,600","1,400","10%","700점","20171010","2404"
"25","자기계발","그릿 GRIT","K182535923","9791186805398","03190","비즈니스북스","앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600","10%","800점","20161025","16933"
"26","자기계발","이형재 시험의 기술 (이시기 공부법 한정판)","8998334623","9788998334628","03192","메가스터디교육(공무원)","이형재 지음","17,800","16,020","1,780","10%","890점","20171030","520"
"27","자기계발","라곰","890121945X","9788901219455","03190","웅진지식하우스","롤라 오케르스트룀 지음, 하수정 옮김","14,800","13,320","1,480","10%","740점","20170918","839"
"28","자기계발","완벽한 공부법","K652535357","9791160486735","03810","로크미디어","고영성.신영준 지음","19,800","17,820","1,980","10%","990점","20170106","23722"
"29","자기계발","2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇","K992531708","9791186688960","03320","나무생각","고이케 히로시 지음, 이정환 옮김","12,800","11,520","1,280","10%","640점","20170814","10679"
"30","자기계발","3개의 소원 100일의 기적","8934973099","9788934973096","13190","김영사","이시다 히사쓰구 지음, 이수경 옮김","12,800","11,520","1,280","10%","640점","20160111","3287"
"31","자기계발","혼자 사는데 돈이라도 있어야지","8957369287","9788957369289","03320","가나출판사","윤경희 지음","14,500","13,050","1,450","10%","720점","20171030","587"
