연도,지자체명,생활폐기물 반입량(kg)
1999,서울특별시,1863765887
2000,서울특별시,1789157849
2001,서울특별시,1690577794
2002,서울특별시,1684950240
2003,서울특별시,1541943387
2004,서울특별시,1346257217
2005,서울특별시,825500431
2006,서울특별시,827968449
2007,서울특별시,702722318
2008,서울특별시,550327640
2009,서울특별시,417259774
2010,서울특별시,361809829
2011,서울특별시,330858070
2012,서울특별시,224170895
2013,서울특별시,258891244
2014,서울특별시,315667431
2015,서울특별시,245482070
2016,서울특별시,263663750
2017,서울특별시,274781630
2018,서울특별시,306219780
2019,서울특별시,346429120
2020,서울특별시,343836260
